105|10520|공덕|5호선|2530|626
107|10708|공릉|7호선|2718|716
109|10904|공항시장|9호선|4103|903
901|90103|공항화물청사|공항철도|4212|A09
104|10430|과천|4호선|1453|438
101|10164|관악|1호선|1705|P146
1801|180111|관악산|신림선|4411|M4411
1101|110112|광교|신분당선|4319|D19
1101|110111|광교중앙|신분당선|4318|D18
105|10537|광나루|5호선|2547|546
101|10196|광명|1호선|1750|P144-1
107|10740|광명사거리|7호선|2750|748
1201|120125|광운대|경춘선|1305|P116
101|10111|광운대|1호선|1019|119
105|10524|광화문|5호선|2534|533
106|10624|광흥창|6호선|2625|624
103|10341|교대|3호선|0330|223
102|10216|교대|2호선|0223|340
1701|170102|구래|김포도시철도|4921|691
101|10132|구로|1호선|1701|141
102|10225|구로디지털단지|2호선|0232|232
201|20115|구룡|수인분당선|1026|K218
1001|100139|구리|경의선|1205|K123
109|10905|구반포|9호선|4121|921
106|10638|구산|6호선|2616|615
201|20137|구성|수인분당선|1863|K235
102|10206|구의|2호선|0213|213
101|10133|구일|1호선|1813|142
103|10311|구파발|3호선|0310|320
1001|100127|국수|경의선|1214|K132
301|30113|국제업무지구|인천선|3138|I138
109|10906|국회의사당|9호선|4114|914
107|10745|군자|7호선|2727|725
105|10535|군자|5호선|2545|544
101|10168|군포|1호선|1709|P150
1201|120104|굴봉산|경춘선|1324|P135
107|10759|굴포천|7호선|3760|758
105|10541|굽은다리|5호선|2551|550
301|30122|귤현|인천선|3111|I111
1201|120105|금곡|경춘선|1316|P127
1001|100105|금릉|경의선|1279|K330
104|10449|금정|4호선|1458|P149
101|10167|금정|1호선|1708|443
101|10162|금천구청|1호선|1703|P144
1001|100104|금촌|경의선|1280|K331
103|10325|금호|3호선|0324|334
1301|130101|기흥|용인경전철|4501|Y110
201|20123|기흥|수인분당선|1865|K237
105|10540|길동|5호선|2550|549
104|10409|길음|4호선|0417|417
1301|130110|김량장|용인경전철|4511|Y119
1201|120106|김유정|경춘선|1327|P138
1701|170110|김포공항|김포도시철도|4929|699
901|90104|김포공항|공항철도|4207|512
109|10907|김포공항|9호선|4102|902
105|10503|김포공항|5호선|2513|A05
105|10552|까치산|5호선|2519|234-4
102|10231|까치산|2호선|0200|518
107|10752|까치울|7호선|3753|751
102|10220|낙성대|2호선|0227|227
107|10737|남구로|7호선|2747|745
302|30208|남동구청|인천2호선|3225|I225
201|20150|남동인더스파크|수인분당선|1883|K264
103|10332|남부터미널|3호선|0331|341
107|10729|남성|7호선|2739|737
101|10125|남영|1호선|1002|134
108|10820|남위례|8호선|2828|821
1201|120107|남춘천|경춘선|1328|P139
104|10426|남태령|4호선|0434|434
108|10813|남한산성입구|8호선|2823|823
107|10727|내방|7호선|2737|735
109|10908|노들|9호선|4118|918
109|10909|노량진|9호선|4117|136
101|10127|노량진|1호선|1004|917
107|10746|노원|7호선|2715|411
104|10403|노원|4호선|0411|713
103|10314|녹번|3호선|0313|323
106|10619|녹사평|6호선|2630|629
101|10187|녹양|1호선|1908|108
101|10109|녹천|1호선|1021|117
1101|110114|논현|신분당선|4305|M4305
107|10724|논현|7호선|2734|732
1001|100113|능곡|경의선|1271|K321
108|10814|단대오거리|8호선|2824|824
1601|160108|달미|서해선|4811|848
201|20145|달월|수인분당선|1878|K259
