10225, 구로디지털단지
10229, 양천구청
10236, 홍대입구
10245, 동대문역사문화공원
10251, 용두
10313, 불광
10315, 홍제
10332, 남부터미널
10334, 매봉
10402, 상계
10405, 쌍문
10416, 명동
10419, 숙대입구
10436, 산본
10438, 대야미
10440, 상록수
10501, 방화
10510, 신정
10512, 오목교
10513, 양평
10524, 광화문
10543, 고덕
10551, 마천
10608, 고려대
10611, 창신
10630, 디지털미디어시티
10633, 응암
10706, 중계
10708, 공릉
10711, 중화
10725, 반포
10729, 남성
10731, 상도
10741, 천왕
10816, 수진
20114, 보정
30105, 선학
30108, 예술회관
30112, 동수
30117, 작전
30119, 계산
30121, 박촌
100134, 청량리
100138, 양원
10253, 신설동
10450, 동대문
10553, 동대문역사문화공원
10558, 종로3가
10641, 삼각지
10644, 약수
10646, 청구
10743, 건대입구
10745, 군자
20117, 도곡
20120, 선릉
100146, 용산
90106, 인천공항1터미널
10154, 배방
10905, 구반포
10911, 동작
10916, 선유도
10922, 여의도
30128, 캠퍼스타운
10153, 동묘앞
10341, 교대
10451, 동대문역사문화공원
10818, 잠실
20118, 모란
100145, 회기
90101, 검암
90104, 김포공항
20123, 기흥
20125, 매탄권선
90107, 디지털미디어시티
110101, 강남
120102, 갈매
120108, 대성리
130104, 어정
10255, 신도림
10454, 이촌
10640, 불광
10751, 태릉입구
20119, 복정
10252, 시청
10449, 금정
10455, 창동
10559, 충정로
10645, 연신내
10742, 가산디지털단지
10744, 고속터미널
10747, 대림
10749, 온수
30124, 계양
90103, 공항화물청사
10159, 온양온천
10910, 당산
10917, 신논현
30125, 센트럴파크
100147, 운길산
100150, 양평
100151, 원덕
100149, 아신
10343, 을지로3가
10555, 영등포구청
10746, 노원
20121, 수서
90102, 계양
100143, 도심
10254, 왕십리
20207, 의정부중앙
20153, 송도
10156, 신창
10901, 가양
10906, 국회의사당
10914, 사평
10921, 양천향교
30126, 인천대입구
10158, 아산
10904, 공항시장
10909, 노량진
10915, 샛강
10920, 신방화
10925, 흑석
30127, 지식정보단지
100135, 양수
100152, 오빈
10346, 경찰병원
10347, 오금
10199, 서동탄
130107, 삼가
130110, 김량장
130111, 운동장?송담대
10157, 쌍용(나사렛대)
10903, 고속터미널
10908, 노들
10912, 등촌
10918, 신목동
10923, 염창
30113, 국제업무지구
30129, 테크노파크
10453, 서울역
10557, 을지로4가
10819, 천호
90105, 운서
20130, 수원
20132, 신갈
120101, 가평
120106, 김유정
120110, 망우
130101, 기흥
100154, 상봉
90109, 홍대입구
110104, 청계산입구
120111, 백양리
120114, 상천
120117, 퇴계원
130103, 지석
130108, 시청?용인대
130115, 전대?에버랜드
20131, 수원시청
20135, 영통
20136, 왕십리
120105, 금곡
120107, 남춘천
120109, 마석
120113, 상봉
120115, 청평
120118, 평내호평
130102, 강남대
130113, 보평
10926, 언주
20156, 신포
110109, 성복
30205, 검단오류
30214, 서부여성회관
30226, 주안
20128, 상갈
110103, 양재시민의숲
120116, 춘천
130105, 동백
130106, 초당
130109, 명지대
20203, 범골
20144, 오이도
20147, 소래포구
20152, 연수
10758, 삼산체육관
20138, 압구정로데오
20201, 발곡
20205, 의정부시청
20209, 새말
20211, 효자
20213, 어룡
20214, 송산
20215, 탑석
20146, 월곶
20149, 호구포
10755, 신중동
10756, 부천시청
10757, 상동
10759, 굴포천
90110, 공덕
20140, 가천대
10155, 봉명
10902, 개화
10907, 김포공항
10913, 마곡나루
10919, 신반포
10924, 증미
100127, 국수
120122, 중랑
30302, 장기주차장
150106, 솔샘
150108, 삼양
150110, 가오리
10935, 한성백제
170101, 양촌
170109, 고촌
20137, 구성
20212, 곤제
20145, 달월
20150, 남동인더스파크
10752, 까치울
10753, 부천종합운동장
10754, 춘의
20148, 인천논현
20139, 선정릉
20163, 중앙
20141, 망포
100123, 공덕
100101, 문산
100102, 파주
100103, 월롱
100104, 금촌
100105, 금릉
100106, 운정
100107, 탄현
100108, 일산
100109, 풍산
100110, 백마
100111, 곡산
100112, 대곡
100113, 능곡
100114, 행신
100115, 화전
100116, 수색
100117, 디지털미디어시티
100118, 가좌
100119, 신촌
100120, 서울역
100121, 홍대입구
10927, 선정릉
120120, 신내
30201, 가재울
30222, 운연
10457, 초지
10929, 봉은사
90112, 영종
20122, 강남구청
110105, 판교
120103, 강촌
120104, 굴봉산
130112, 고진
130114, 둔전
120121, 천마산
20157, 인천
110108, 수지구청
110111, 광교중앙
30204, 검단사거리
30211, 만수
30220, 완정
30223, 인천가좌
20154, 인하대
110112, 광교
30202, 가정
30207, 검암
30208, 남동구청
30213, 서구청
30216, 석바위시장
30218, 시민공원
30225, 인천시청
110107, 동천
110110, 상현
30209, 독정
30212, 모래내시장
30301, 인천공항1터미널
30306, 용유
20311, 여주
100125, 야당
20204, 경전철의정부
20206, 흥선
20208, 동오
20151, 원인재
20306, 곤지암
20309, 부발
150105, 북한산보국문
90113, 인천공항2터미널
160101, 소사
160103, 시흥대야
160105, 신현
20308, 이천
150113, 북한산우이
110113, 미금
160108, 달미
160112, 원시
10933, 석촌
170104, 장기
20166, 야목
10820, 남위례
180101, 샛강
180103, 서울지방병무청
180107, 당곡
10937, 둔촌오륜
170105, 운양
170110, 김포공항
10560, 미사
10648, 신내
20159, 신길온천
20160, 안산
20161, 초지
20165, 사리
20167, 어천
20169, 고색
180111, 관악산
100148, 신원
100153, 용문
10197, 당정
10345, 가락시장
100155, 지평
120125, 광운대
30305, 워터파크
20303, 삼동
150101, 신설동
150107, 삼양사거리
150111, 4?19민주묘지
150112, 솔밭공원
90114, 마곡나루
10760, 부평구청
10932, 석촌고분
10934, 송파나루
10938, 중앙보훈병원
170102, 구래
170107, 사우
170108, 풍무
20143, 청량리
20162, 고잔
20164, 한대앞
10562, 강일
10762, 석남
180102, 대방
180105, 보라매공원
10459, 오남
110115, 신사
120124, 청량리
30303, 합동청사
20301, 판교
20305, 초월
20307, 신둔도예촌
20310, 세종대왕릉
150102, 보문
150109, 화계
160104, 신천
160110, 초지
10561, 하남풍산
20168, 오목천
180109, 서원
110116, 신논현
10563, 하남시청
20124, 매교
20129, 서울숲
90108, 서울역
110102, 양재
110106, 정자
120112, 사릉
10930, 종합운동장
100124, 강매
30203, 가정중앙시장
30206, 검바위
20202, 회룡
20210, 경기도청 북부청사
150104, 정릉
160102, 소새울
160106, 시흥시청
160109, 선부
160111, 시우
10931, 삼전
170103, 마산
20158, 정왕
30130, 송도달빛축제공원
10761, 산곡
180106, 보라매병원
10458, 별내별가람
10460, 진접
110114, 논현
20142, 청명
100122, 서강대
120119, 별내
10348, 원흥
10928, 삼성중앙
90111, 청라국제도시
20155, 숭의
100126, 효창공원앞
30210, 마전
30215, 석남
30217, 석천사거리
30219, 아시아드경기장
30221, 왕길
30224, 인천대공원
30227, 주안국가산단
120123, 회기
30304, 파라다이스시티
20302, 이매
20304, 경기광주
150103, 성신여대입구
160107, 시흥능곡
10936, 올림픽공원
170106, 걸포북변
101100, 탕정
10564, 하남검단산
100156, 임진강
180104, 보라매
180108, 신림
180110, 서울대벤처타운
