4호선|4호선|104|과천|12699646|3743275|126.99645972679|37.432754762756|subway|metro|10430|
1호선|1호선|101|관악|12690862|3741945|126.90861861254|37.419445735761|subway|metro|10164|
신림선|신림선|1801|관악산|12694510|3746909|126.94509952208|37.4690860478461|subway|metro|180111|
신분당선|신분당선|1101|광교|12704423|3730212|127.04422599771105|37.30212185378659|subway|metro|110112|
신분당선|신분당선|1101|광교중앙|12705160|3728852|127.05160462501128|37.28852221374003|subway|metro|110111|
5호선|5호선|105|광나루|12710351|3754505|127.10351212561|37.545048103533|subway|metro|10537|
1호선|1호선|101|광명|12688494|3741637|126.88493796112395|37.41637060588534|subway|metro|10196|
7호선|7호선|107|광명사거리|12685473|3747942|126.85472779665|37.479418980827|subway|metro|10740|
1호선|1호선|101|광운대|12706140|3762376|127.06139991639|37.623762649017|subway|metro|10111|
5호선|5호선|105|광화문|12697621|3757082|126.97621291125|37.570816504156|subway|metro|10524|
6호선|6호선|106|광흥창|12693182|3754747|126.93181765954|37.547469773435|subway|metro|10624|
2호선|2호선|102|교대|12701402|3749320|127.01402373881|37.493200613034|subway|metro|10216|
1호선|1호선|101|구로|12688226|3750295|126.8822606179418|37.502946193025835|subway|metro|10132|
2호선|2호선|102|구로디지털단지|12690148|3748516|126.90148468313|37.485162149801|subway|metro|10225|
수인분당선|수인분당선|201|구룡|12705911|3748670|127.059108|37.48669555|subway|metro|20115|
경의선|경의선|1001|구리|12714364|3760326|127.14363649435|37.603260290606|subway|metro|100139|
9호선|9호선|109|구반포|12698694|3750117|126.98694027932|37.501166229244|subway|metro|10905|
수인분당선|수인분당선|201|구성|12710542|3729884|127.1054171|37.29883831|subway|metro|20137|
2호선|2호선|102|구의|12708573|3753692|127.08572966803|37.536918638724|subway|metro|10206|
1호선|1호선|101|구일|12687016|3749655|126.87015667802|37.496546705467|subway|metro|10133|
3호선|3호선|103|구파발|12691878|3763665|126.91878321482|37.636649115575|subway|metro|10311|
경의선|경의선|1001|국수|12739917|3751610|127.39917370015|37.516103878236|subway|metro|100127|
9호선|9호선|109|국회의사당|12691764|3752817|126.91763920416|37.528169942011|subway|metro|10906|
5호선|5호선|105|군자|12707943|3755713|127.07943303411|37.557133924835|subway|metro|10535|
1호선|1호선|101|군포|12694826|3735400|126.94825605516095|37.35400249793862|subway|metro|10168|
경춘선|경춘선|1201|굴봉산|12755774|3783195|127.55774058754373|37.83194988329542|subway|metro|120104|
5호선|5호선|105|굽은다리|12714281|3754538|127.14281164798|37.545379265532|subway|metro|10541|
인천1호선|인천1호선|301|귤현|12674239|3756622|126.74239048411268|37.56621734143828|subway|metro|30122|
경춘선|경춘선|1201|금곡|12720753|3763732|127.20752536485296|37.637320695050164|subway|metro|120105|
경의선|경의선|1001|금릉|12676520|3775110|126.76520377669338|37.751104322397154|subway|metro|100105|
1호선|1호선|101|금정|12694337|3737226|126.94336687664|37.372264241147|subway|metro|10167|
1호선|1호선|101|금천구청|12689343|3745608|126.89342596506873|37.45607730344292|subway|metro|10162|
경의선|경의선|1001|금촌|12677466|3776597|126.77465757794373|37.76597180208753|subway|metro|100104|
3호선|3호선|103|금호|12701566|3754800|127.01566145100|37.548004010988|subway|metro|10325|
5호선|5호선|105|길동|12714004|3753794|127.14004329820547|37.53794494277726|subway|metro|10540|
4호선|4호선|104|길음|12702496|3760351|127.02496109234|37.603508497421|subway|metro|10409|
경춘선|경춘선|1201|김유정|12771389|3781837|127.71388763744254|37.81836763979229|subway|metro|120106|
