우이신설경전철|우이신설경전철|4703|4∙19민주묘지|12701370|3764953|127.01369763482|37.6495307746374|subway|metro|150111
1호선|1호선|1907|가능|12704430|3774823|127.04429582703185|37.748233917313705|subway|metro|10101
3호선|3호선|0340|가락시장|12711790|3749277|127.11789963230|37.492765387938|subway|metro|10345
9호선|9호선|4107|가양|12685429|3756120|126.85428991202|37.561202980800|subway|metro|10901
우이신설경전철|우이신설경전철|4704|가오리|12701677|3764154|127.01676896839822|37.6415440572233|subway|metro|150110
인천2호선|인천2호선|3216|가재울|12668416|3748421|126.68416236523328|37.484210057792964|subway|metro|30201
인천2호선|인천2호선|3211|가정|12667589|3752494|126.67588804865636|37.52493544911693|subway|metro|30202
인천2호선|인천2호선|3212|가정중앙시장|12667755|3751769|126.6775510783912|37.51769146310838|subway|metro|30203
경의중앙선|경의중앙선|1265|가좌|12691510|3756857|126.91509963231|37.568565387939|subway|metro|100118
수인분당선|수인분당선|1851|가천대|12712666|3744855|127.1266627|37.44854953|subway|metro|20140
경춘선|경춘선|1323|가평|12751082|3781428|127.5108184341905|37.81428456116059|subway|metro|120101
1호선|1호선|1816|간석|12669379|3746458|126.69378799895296|37.46458218927415|subway|metro|10146
인천1호선|인천1호선|3123|간석오거리|12670766|3746716|126.70765517284|37.467160312766|subway|metro|30110
경춘선|경춘선|1312|갈매|12711477|3763392|127.11476787430064|37.63391890425688|subway|metro|120102
인천1호선|인천1호선|3117|갈산|12672159|3751688|126.72159152181868|37.51688221045768|subway|metro|30116
2호선|2호선|0222|강남|12702805|3749720|127.02805366094834|37.49720243679752|subway|metro|10215
7호선|7호선|1849|강남구청|12704116|3751715|127.04116279464|37.517148420244|subway|metro|10722
용인경전철|용인경전철|4502|강남대|12712617|3727004|127.12617266158597|37.27004446879131|subway|metro|130102
5호선|5호선|2549|강동|12713208|3753588|127.13207896644|37.535878860168|subway|metro|10539
8호선|8호선|2813|강동구청|12712027|3753047|127.12026914224|37.530470807115|subway|metro|10803
경의중앙선|경의중앙선|1269|강매|12684454|3761230|126.84454010648171|37.61230494285545|subway|metro|100124
2호선|2호선|0214|강변|12709469|3753488|127.09469440869745|37.5348770584265|subway|metro|10207
5호선|5호선|2562|강일|12717568|3755743|127.175680183486|37.5574259795986|subway|metro|10562
경춘선|경춘선|1326|강촌|12763425|3780562|127.63424584185462|37.805624570932146|subway|metro|120103
5호선|5호선|2559|개롱|12713483|3749783|127.13483275019|37.497826778695|subway|metro|10549
1호선|1호선|1801|개봉|12685827|3749461|126.85826764568|37.494613878986|subway|metro|10134
수인분당선|수인분당선|1027|개포동|12706586|3748901|127.0658627|37.4890091|subway|metro|20111
